Timestamp,Milliseconds,Millibars
2019-04-11 16:47:31,2,0.0
2019-04-11 16:47:31,101,0.0
2019-04-11 16:47:31,201,0.0
2019-04-11 16:47:31,302,0.0
2019-04-11 16:47:32,401,0.0
2019-04-11 16:47:32,501,0.0
2019-04-11 16:47:32,601,0.0
2019-04-11 16:47:32,702,0.0
2019-04-11 16:47:32,801,0.0
2019-04-11 16:47:32,901,0.0
2019-04-11 16:47:32,1002,0.0
2019-04-11 16:47:32,1101,0.0
2019-04-11 16:47:32,1201,0.0
2019-04-11 16:47:32,1302,0.0
2019-04-11 16:47:33,1401,0.0
2019-04-11 16:47:33,1501,0.0
2019-04-11 16:47:33,1601,0.0
2019-04-11 16:47:33,1701,0.0
2019-04-11 16:47:33,1802,0.0
2019-04-11 16:47:33,1901,0.0
2019-04-11 16:47:33,2001,0.0
2019-04-11 16:47:33,2101,0.0
2019-04-11 16:47:33,2202,0.0
2019-04-11 16:47:33,2301,0.0
2019-04-11 16:47:34,2401,0.0
2019-04-11 16:47:34,2502,0.0
2019-04-11 16:47:34,2601,0.0
2019-04-11 16:47:34,2701,0.0
2019-04-11 16:47:34,2802,0.0
2019-04-11 16:47:34,2901,0.0
2019-04-11 16:47:34,3001,0.0
2019-04-11 16:47:34,3102,0.0
2019-04-11 16:47:34,3201,0.0
2019-04-11 16:47:34,3301,0.0
2019-04-11 16:47:35,3402,0.0
2019-04-11 16:47:35,3501,0.0
2019-04-11 16:47:35,3601,0.0
2019-04-11 16:47:35,3701,0.0
2019-04-11 16:47:35,3802,0.0
2019-04-11 16:47:35,3901,0.0
2019-04-11 16:47:35,4002,0.0
2019-04-11 16:47:35,4101,0.0
2019-04-11 16:47:35,4202,0.0
2019-04-11 16:47:35,4301,0.0
2019-04-11 16:47:36,4401,0.0
2019-04-11 16:47:36,4502,0.0
2019-04-11 16:47:36,4601,0.0
2019-04-11 16:47:36,4702,0.0
2019-04-11 16:47:36,4801,0.0
2019-04-11 16:47:36,4901,0.0
2019-04-11 16:47:36,5002,0.0
2019-04-11 16:47:36,5101,0.0
2019-04-11 16:47:36,5201,0.0
2019-04-11 16:47:36,5302,0.0
2019-04-11 16:47:37,5401,0.0
2019-04-11 16:47:37,5501,0.0
2019-04-11 16:47:37,5601,0.0
2019-04-11 16:47:37,5702,0.0
2019-04-11 16:47:37,5801,0.0
2019-04-11 16:47:37,5901,0.0
2019-04-11 16:47:37,6001,0.0
2019-04-11 16:47:37,6102,0.0
2019-04-11 16:47:37,6201,0.0
2019-04-11 16:47:37,6301,0.0
2019-04-11 16:47:38,6401,0.0
2019-04-11 16:47:38,6502,0.0
2019-04-11 16:47:38,6601,0.0
2019-04-11 16:47:38,6702,0.0
2019-04-11 16:47:38,6801,0.0
2019-04-11 16:47:38,6901,0.0
2019-04-11 16:47:38,7002,0.0
2019-04-11 16:47:38,7101,0.0
2019-04-11 16:47:38,7202,0.0
2019-04-11 16:47:38,7301,0.0
2019-04-11 16:47:39,7401,0.0
2019-04-11 16:47:39,7502,0.0
2019-04-11 16:47:39,7601,0.0
2019-04-11 16:47:39,7701,0.0
2019-04-11 16:47:39,7801,0.0
2019-04-11 16:47:39,7902,0.0
2019-04-11 16:47:39,8001,0.0
2019-04-11 16:47:39,8101,0.0
2019-04-11 16:47:39,8201,0.0
2019-04-11 16:47:39,8301,0.0
2019-04-11 16:47:40,8402,0.0
2019-04-11 16:47:40,8501,0.0
2019-04-11 16:47:40,8601,0.0
2019-04-11 16:47:40,8701,0.0
2019-04-11 16:47:40,8801,0.0
2019-04-11 16:47:40,8901,0.0
2019-04-11 16:47:40,9001,0.0
2019-04-11 16:47:40,9102,0.0
2019-04-11 16:47:40,9201,0.0
2019-04-11 16:47:40,9302,0.0
2019-04-11 16:47:41,9401,0.0
2019-04-11 16:47:41,9501,0.0
2019-04-11 16:47:41,9601,0.0
2019-04-11 16:47:41,9701,0.0
2019-04-11 16:47:41,9802,0.0
2019-04-11 16:47:41,9901,0.0
2019-04-11 16:47:41,10001,0.0
2019-04-11 16:47:41,10102,0.0
2019-04-11 16:47:41,10201,0.0
2019-04-11 16:47:41,10301,0.0
2019-04-11 16:47:42,10402,0.0
2019-04-11 16:47:42,10501,0.0
2019-04-11 16:47:42,10601,0.0
2019-04-11 16:47:42,10702,0.0
2019-04-11 16:47:42,10801,0.0
2019-04-11 16:47:42,10901,0.0
2019-04-11 16:47:42,11002,0.0
2019-04-11 16:47:42,11101,0.0
2019-04-11 16:47:42,11201,0.0
2019-04-11 16:47:42,11301,0.0
2019-04-11 16:47:43,11402,0.0
2019-04-11 16:47:43,11501,0.0
2019-04-11 16:47:43,11601,0.0
2019-04-11 16:47:43,11702,0.0
2019-04-11 16:47:43,11801,0.0
2019-04-11 16:47:43,11901,0.0
2019-04-11 16:47:43,12001,0.0
2019-04-11 16:47:43,12102,0.0
2019-04-11 16:47:43,12201,0.0
2019-04-11 16:47:43,12301,0.0
2019-04-11 16:47:44,12402,0.0
2019-04-11 16:47:44,12501,0.0
2019-04-11 16:47:44,12601,0.0
2019-04-11 16:47:44,12702,0.0
2019-04-11 16:47:44,12801,0.0
2019-04-11 16:47:44,12901,0.0
2019-04-11 16:47:44,13002,0.0
2019-04-11 16:47:44,13101,0.0
2019-04-11 16:47:44,13201,0.0
2019-04-11 16:47:44,13302,0.0
2019-04-11 16:47:45,13401,0.0
2019-04-11 16:47:45,13501,0.0
2019-04-11 16:47:45,13601,0.0
2019-04-11 16:47:45,13701,0.0
